file,model_count
2008-06-05_13-46-47.dimacs,1231724441522602971622800
2008-06-07_15-19-18.dimacs,958007898962024533484400
2008-06-27_09-08-44.dimacs,1406198728885778701196400
2008-07-08_02-41-21.dimacs,1406198728885778701196400
2008-08-27_14-59-15.dimacs,1407787610139625743871920
2008-09-15_10-24-22.dimacs,1407787610139625743871920
2008-09-25_12-51-24.dimacs,1093699537757876573924400
2008-10-06_08-55-23.dimacs,2254978059026588160665400
2008-10-17_14-05-53.dimacs,2254978059026588160665400
2008-10-30_08-05-36.dimacs,2254978059026588160665400
2008-11-14_00-35-40.dimacs,8985220265967482055574440
2008-12-29_13-55-44.dimacs,8985220265967482055574440
2008-12-31_00-31-38.dimacs,23358249081427233860326440
2009-02-05_07-50-54.dimacs,30544763489157109762702440
2009-02-20_14-37-43.dimacs,16171734673697357957950440
2009-02-24_07-20-53.dimacs,16171734673697357957950440
2009-02-24_18-42-38.dimacs,16171734673697357957950440
2009-03-14_11-30-56.dimacs,12589717189336158247908840
2009-08-01_01-40-34.dimacs,12592837122368764395366540
2009-09-16_10-00-56.dimacs,12592837122368764395366540
2009-09-17_09-29-59.dimacs,25169467247154042607470060
2009-09-26_09-37-45.dimacs,21440965318943248310365980
2009-10-08_16-56-33.dimacs,64322895956829744931097940
2009-10-17_14-45-31.dimacs,109064919095359276496346900
2009-10-28_20-12-54.dimacs,83718195314495092945915860
2009-10-28_20-56-34.dimacs,105555606767525840593062780
2009-11-09_15-35-16.dimacs,141951292522577086671640980
2009-11-19_17-57-37.dimacs,105555606767525840593062780
2009-11-19_18-03-00.dimacs,211043244696180125590122300
2009-11-19_18-21-10.dimacs,422018520553488695584241340
2009-11-19_18-23-41.dimacs,422018520553488695584241340
2009-11-19_18-57-32.dimacs,775201072001207168493504900
2009-11-19_22-36-07.dimacs,595144204507799495948727900
2009-11-22_23-54-40.dimacs,1189538163215326086273668700
2010-02-16_15-11-07.dimacs,943451425892127242747042100
2010-03-12_14-47-15.dimacs,697364688568928399220415500
2010-03-12_17-06-35.dimacs,697364688568928399220415500
2010-04-02_09-19-24.dimacs,1189538163215326086273668700
2010-04-02_10-29-00.dimacs,943451425892127242747042100
2010-04-12_16-38-37.dimacs,845016730962847705336391460
2010-04-14_15-34-22.dimacs,1394289486636597225942309900
2010-04-29_17-17-18.dimacs,2815834108057886397061136700
2010-09-14_14-36-00.dimacs,2815834108057886397061136700
2010-09-15_12-31-22.dimacs,2875375009200437170463965500
2010-09-17_13-06-58.dimacs,5749861689915935053534429500
2010-09-17_16-13-17.dimacs,8624348370631432936604893500
2010-11-24_23-02-11.dimacs,2890213356993481052857451700
2011-02-24_08-24-43.dimacs,1767897400040451575885117700
2011-03-03_18-22-47.dimacs,1767897400040451575885117700
2011-03-05_18-10-15.dimacs,1868367757363900964556313500
2011-04-20_12-50-38.dimacs,1811286134859015385412598900
2011-04-26_14-12-55.dimacs,3540567907335240452533648500
2011-07-25_09-09-03.dimacs,10916582051243975185812575700
2011-08-26_09-29-52.dimacs,16373115173154007227159151380
2011-10-14_14-11-01.dimacs,16557242647795640003058030900
2011-10-25_12-28-51.dimacs,33113720310816391201044846900
2011-10-27_12-48-31.dimacs,32317341381288490016909776500
2011-11-02_16-49-04.dimacs,63958506236538473094798978000
2011-11-20_02-47-50.dimacs,63958506236538473094798978000
2011-12-22_13-59-24.dimacs,85278008315384630793065304000
2011-12-22_14-07-08.dimacs,127917012473076946189597956000
2012-01-26_15-26-47.dimacs,142635681471560205359115828000
2012-04-18_00-09-02.dimacs,142635681471560205359115828000
2012-05-21_22-20-04.dimacs,142635681471560205359115828000
2012-06-15_14-00-31.dimacs,130370123972824156051184268000
2012-06-15_14-00-36.dimacs,195553688569478049901255308000
2012-06-15_14-00-37.dimacs,40644492153766116517829584800
2012-06-15_14-00-44.dimacs,121933476461298349553488754400
2013-01-10_10-56-19.dimacs,342268221008199309291968385600
2013-02-20_13-45-10.dimacs,340794629345313774910098705600
2013-03-14_22-27-19.dimacs,341636681724105508842595665600
2013-03-14_22-45-15.dimacs,343049056048951850755404561600
2013-04-04_00-25-06.dimacs,343049056048951850755404561600
2013-05-19_01-09-07.dimacs,271776225586703050193334868800
2013-06-14_10-43-41.dimacs,271776225586703050193334868800
2013-08-02_14-04-17.dimacs,435008841083423636378559724800
2013-11-06_22-21-59.dimacs,435008841083423636378559724800
2013-12-20_14-38-23.dimacs,439219057770067763621643724800
2014-09-09_13-48-45.dimacs,465812842094152781342572972800
2014-12-12_14-43-55.dimacs,467251738314952256489978668800
2014-12-12_16-18-12.dimacs,155750579438317418829992889600
2015-02-20_11-30-20.dimacs,257076754163964236904960729600
2015-02-20_15-41-13.dimacs,428458463128365320641902912000
2015-03-24_00-11-21.dimacs,1285375389385095961925708736000
2015-03-25_23-59-45.dimacs,234409744585174523269239878400
2015-03-26_00-50-17.dimacs,703229233755523569807719635200
2015-10-09_05-34-32.dimacs,280920251019174624000
2015-10-12_16-36-26.dimacs,280920251019174624000
2015-10-16_19-27-26.dimacs,280920251019174624000
2015-10-19_01-37-11.dimacs,280920251019174624000
2015-10-22_03-52-27.dimacs,280920251019174624000
2015-11-03_18-39-11.dimacs,280920251019174624000
2015-12-05_21-00-06.dimacs,168552150611504774400
2015-12-05_21-12-19.dimacs,168552150611504774400
2015-12-09_07-53-09.dimacs,168552150611504774400
2016-01-01_19-48-17.dimacs,168552150611504774400
2016-01-02_16-57-03.dimacs,168552150611504774400
2016-01-03_19-22-22.dimacs,93569498151452294400
2016-01-25_23-53-18.dimacs,93569498151452294400
2016-03-26_23-33-28.dimacs,20004345002973963945084314400
2016-05-18_18-41-24.dimacs,16779400302904744213824429600
2016-06-01_19-59-03.dimacs,18711061139993335992490154400
2016-06-07_04-14-23.dimacs,10238127816565578905289943200
2016-06-19_17-52-51.dimacs,51190639082827894526449716000
2016-06-30_03-24-42.dimacs,54881533183266429489181332000
2016-08-27_19-23-20.dimacs,65450998140920988278106996000
2016-09-30_18-43-55.dimacs,33230117733122865874676643000
2016-10-16_23-31-56.dimacs,61871214161298307691756259000
2016-11-03_20-37-48.dimacs,62122865242474014920067555000
2016-11-04_00-03-07.dimacs,62122869162351870852075525000
2016-11-27_16-35-32.dimacs,33899976904140503464202037000
2016-11-27_22-32-11.dimacs,11299992734561371434633382200
2016-11-29_08-38-20.dimacs,5652482067398275108305391800
2016-12-14_07-56-05.dimacs,5652482067398275108305391800
2016-12-20_19-57-05.dimacs,5652482067398275108305391800
2016-12-20_20-51-59.dimacs,5652482067398275108305391800
2016-12-21_18-50-24.dimacs,5652482067398275108305391800
2016-12-23_07-53-31.dimacs,5652482067398275108305391800
2016-12-29_13-38-09.dimacs,6760164790038728227854380400
2016-12-31_06-13-53.dimacs,5958239116457705969404038240
2017-01-22_10-06-29.dimacs,6127944029454119508325404000
2017-01-24_05-14-44.dimacs,6127944029454119508325404000
2017-02-01_17-48-38.dimacs,6186049576025341212197710560
2017-03-20_18-10-36.dimacs,1485304779467825990263830240
2017-04-17_17-51-12.dimacs,571260069308294761169436480
2017-05-14_10-29-09.dimacs,571956361542364517680852800
2017-06-23_23-46-04.dimacs,571956412008965164519665600
2017-11-19_09-20-11.dimacs,603289562542104207533400000
2017-12-31_11-12-07.dimacs,350465882276366299364201280
2018-01-02_03-07-47.dimacs,350465882276366299364201280
2018-01-31_18-44-51.dimacs,116821960758788766454733760
2018-03-12_20-11-14.dimacs,115685191636992150713991360
2018-04-17_18-15-58.dimacs,57843039372572584333344960
2018-06-10_06-35-18.dimacs,57843045094560210664320960
2018-08-10_16-02-45.dimacs,61173626772042020327232960
2019-11-01_00-39-10.dimacs,61617701197004262641472960
2019-11-08_03-03-43.dimacs,61380857809495546583002560
2020-09-21_13-39-06.dimacs,61380855099080355163066560
2020-10-02_19-10-36.dimacs,61525387462326721251514560
2020-12-24_11-54-53.dimacs,50867601263232905709754560
